iter	Passed	Remaining
0	174	52261
1	210	31374
2	244	24225
3	285	21115
4	320	18901
5	356	17481
6	393	16452
7	429	15672
8	465	15063
9	503	14603
10	538	14156
11	573	13773
12	610	13468
13	641	13113
14	675	12830
15	708	12581
16	744	12394
17	780	12221
18	815	12057
19	850	11907
20	885	11761
21	920	11634
22	956	11513
23	991	11406
24	1027	11305
25	1062	11201
26	1103	11158
27	1141	11092
28	1181	11042
29	1221	10990
30	1260	10939
31	1297	10866
32	1334	10798
33	1369	10715
34	1406	10648
35	1440	10561
36	1475	10488
37	1510	10412
38	1544	10335
39	1580	10272
40	1612	10188
41	1646	10115
42	1681	10051
43	1719	10001
44	1753	9937
45	1788	9877
46	1822	9812
47	1856	9748
48	1891	9691
49	1928	9642
50	1964	9592
51	1998	9532
52	2034	9482
53	2069	9428
54	2106	9381
55	2138	9319
56	2174	9271
57	2208	9214
58	2243	9162
59	2278	9115
60	2314	9068
61	2349	9019
62	2385	8974
63	2424	8939
64	2458	8886
65	2492	8838
66	2528	8791
67	2565	8754
68	2599	8703
69	2633	8654
70	2665	8598
71	2706	8571
72	2744	8534
73	2783	8499
74	2820	8461
75	2866	8448
76	2904	8410
77	2943	8376
78	2978	8333
79	3017	8297
80	3056	8264
81	3095	8228
82	3129	8183
83	3169	8151
84	3202	8100
85	3237	8056
86	3272	8010
87	3307	7968
88	3342	7923
89	3378	7882
90	3414	7842
91	3445	7790
92	3479	7745
93	3522	7718
94	3556	7674
95	3591	7631
96	3626	7589
97	3659	7542
98	3692	7496
99	3724	7449
100	3760	7408
101	3794	7365
102	3830	7326
103	3860	7275
104	3898	7240
105	3935	7202
106	3970	7162
107	4004	7119
108	4040	7079
109	4076	7040
110	4109	6996
111	4143	6955
112	4177	6913
113	4213	6873
114	4248	6833
115	4282	6793
116	4316	6751
117	4354	6716
118	4391	6678
119	4415	6623
120	4450	6583
121	4478	6534
122	4512	6493
123	4548	6455
124	4582	6415
125	4619	6378
126	4652	6338
127	4686	6296
128	4719	6256
129	4754	6216
130	4787	6176
131	4824	6139
132	4859	6101
133	4900	6070
134	4926	6021
135	4951	5971
136	4989	5936
137	5027	5901
138	5065	5867
139	5096	5824
140	5132	5787
141	5164	5745
142	5198	5707
143	5240	5676
144	5276	5640
145	5311	5602
146	5346	5564
147	5375	5520
148	5407	5479
149	5433	5433
150	5458	5386
151	5485	5341
152	5518	5302
153	5553	5265
154	5586	5226
155	5615	5183
156	5651	5147
157	5688	5112
158	5722	5074
159	5750	5031
160	5776	4987
161	5813	4952
162	5852	4919
163	5879	4875
164	5915	4839
165	5951	4804
166	5985	4766
167	6019	4729
168	6044	4685
169	6072	4643
170	6100	4602
171	6127	4560
172	6155	4518
173	6182	4477
174	6209	4435
175	6241	4397
176	6268	4355
177	6294	4314
178	6320	4272
179	6347	4231
180	6376	4192
181	6403	4151
182	6430	4111
183	6458	4071
184	6488	4033
185	6518	3995
186	6548	3956
187	6577	3918
188	6606	3880
189	6635	3841
190	6665	3803
191	6694	3765
192	6726	3729
193	6756	3691
194	6786	3654
195	6816	3617
196	6844	3578
197	6873	3540
198	6903	3503
199	6932	3466
200	6960	3428
201	6990	3391
202	7019	3354
203	7047	3316
204	7074	3278
205	7101	3240
206	7129	3203
207	7158	3166
208	7186	3129
209	7216	3092
210	7247	3056
211	7276	3020
212	7303	2983
213	7339	2949
214	7368	2913
215	7398	2877
216	7429	2841
217	7457	2805
218	7484	2768
219	7511	2731
220	7538	2694
221	7566	2658
222	7596	2623
223	7623	2586
224	7648	2549
225	7675	2513
226	7702	2476
227	7732	2441
228	7761	2406
229	7845	2387
230	7881	2354
231	7910	2318
232	7938	2282
233	7966	2247
234	7995	2211
235	8023	2175
236	8051	2140
237	8079	2104
238	8109	2069
239	8136	2034
240	8163	1998
241	8190	1962
242	8216	1927
243	8243	1892
244	8271	1856
245	8299	1821
246	8328	1787
247	8357	1752
248	8386	1717
249	8413	1682
250	8443	1648
251	8473	1613
252	8501	1579
253	8530	1544
254	8559	1510
255	8588	1476
256	8615	1441
257	8648	1407
258	8675	1373
259	8708	1339
260	8737	1305
261	8764	1271
262	8792	1236
263	8819	1202
264	8848	1168
265	8877	1134
266	8906	1100
267	8938	1067
268	8969	1033
269	8999	999
270	9026	965
271	9055	932
272	9083	898
273	9112	864
274	9141	831
275	9171	797
276	9201	763
277	9229	730
278	9259	696
279	9288	663
280	9314	629
281	9342	596
282	9369	562
283	9397	529
284	9425	496
285	9451	462
286	9478	429
287	9506	396
288	9533	362
289	9560	329
290	9586	296
291	9612	263
292	9640	230
293	9666	197
294	9693	164
295	9721	131
296	9749	98
297	9777	65
298	9805	32
299	9832	0
