iter	Passed	Remaining
0	201	60172
1	217	32369
2	233	23095
3	249	18433
4	264	15632
5	282	13823
6	298	12508
7	315	11500
8	331	10728
9	348	10118
10	365	9597
11	381	9153
12	397	8779
13	413	8444
14	429	8158
15	444	7892
16	456	7601
17	468	7334
18	483	7155
19	498	6983
20	514	6829
21	529	6688
22	543	6547
23	559	6429
24	571	6283
25	584	6159
26	595	6019
27	610	5933
28	625	5849
29	641	5776
30	657	5701
31	673	5642
32	685	5543
33	697	5458
34	715	5413
35	730	5355
36	746	5304
37	759	5239
38	775	5187
39	790	5138
40	806	5093
41	822	5053
42	842	5032
43	858	4996
44	873	4949
45	886	4896
46	901	4852
47	912	4791
48	924	4734
49	939	4695
50	953	4653
51	964	4597
52	979	4563
53	990	4513
54	1005	4479
55	1016	4430
56	1031	4397
57	1043	4351
58	1054	4308
59	1069	4277
60	1080	4234
61	1091	4191
62	1106	4163
63	1117	4121
64	1132	4095
65	1147	4068
66	1165	4052
67	1176	4013
68	1187	3975
69	1198	3936
70	1212	3912
71	1227	3888
72	1238	3851
73	1250	3819
74	1261	3785
75	1274	3756
76	1287	3727
77	1302	3707
78	1314	3677
79	1326	3646
80	1337	3615
81	1348	3585
82	1360	3557
83	1372	3529
84	1387	3509
85	1399	3482
86	1413	3459
87	1427	3438
88	1438	3410
89	1448	3380
90	1464	3362
91	1476	3338
92	1493	3323
93	1505	3299
94	1521	3283
95	1535	3262
96	1547	3237
97	1558	3213
98	1570	3187
99	1580	3161
100	1592	3137
101	1603	3112
102	1614	3088
103	1626	3064
104	1641	3047
105	1652	3024
106	1664	3002
107	1675	2979
108	1690	2961
109	1702	2940
110	1713	2918
111	1725	2895
112	1736	2873
113	1747	2851
114	1759	2829
115	1770	2807
116	1781	2786
117	1793	2766
118	1807	2749
119	1819	2728
120	1830	2708
121	1842	2687
122	1853	2667
123	1867	2650
124	1879	2630
125	1893	2614
126	1904	2594
127	1917	2576
128	1929	2557
129	1941	2538
130	1953	2520
131	1965	2501
132	1976	2482
133	1988	2463
134	2000	2444
135	2010	2424
136	2022	2405
137	2033	2387
138	2044	2368
139	2055	2349
140	2067	2331
141	2078	2312
142	2088	2293
143	2100	2275
144	2111	2257
145	2123	2239
146	2140	2227
147	2152	2210
148	2170	2199
149	2186	2186
150	2209	2180
151	2228	2169
152	2245	2157
153	2262	2145
154	2277	2130
155	2299	2122
156	2316	2110
157	2334	2098
158	2348	2082
159	2363	2068
160	2377	2052
161	2390	2036
162	2403	2019
163	2416	2003
164	2428	1987
165	2441	1970
166	2453	1953
167	2465	1936
168	2477	1920
169	2490	1904
170	2501	1887
171	2513	1870
172	2526	1854
173	2537	1837
174	2549	1820
175	2561	1804
176	2574	1789
177	2585	1772
178	2597	1755
179	2608	1739
180	2619	1722
181	2631	1706
182	2646	1691
183	2657	1675
184	2668	1658
185	2679	1642
186	2690	1625
187	2701	1609
188	2713	1593
189	2724	1577
190	2735	1560
191	2746	1544
192	2757	1528
193	2769	1513
194	2780	1497
195	2791	1481
196	2802	1465
197	2813	1449
198	2824	1433
199	2835	1417
200	2846	1402
201	2857	1386
202	2869	1371
203	2880	1355
204	2892	1340
205	2903	1325
206	2915	1309
207	2926	1294
208	2938	1279
209	2949	1264
210	2960	1248
211	2972	1234
212	2983	1218
213	2995	1203
214	3007	1188
215	3018	1174
216	3030	1159
217	3041	1144
218	3052	1129
219	3064	1114
220	3075	1099
221	3086	1084
222	3098	1069
223	3110	1055
224	3121	1040
225	3133	1026
226	3145	1011
227	3156	996
228	3168	982
229	3180	967
230	3191	953
231	3202	938
232	3215	924
233	3226	910
234	3238	895
235	3249	881
236	3260	866
237	3272	852
238	3283	838
239	3294	823
240	3306	809
241	3318	795
242	3329	780
243	3340	766
244	3351	752
245	3363	738
246	3374	724
247	3385	709
248	3396	695
249	3408	681
250	3419	667
251	3431	653
252	3443	639
253	3454	625
254	3465	611
255	3477	597
256	3488	583
257	3499	569
258	3511	555
259	3523	542
260	3534	528
261	3546	514
262	3559	500
263	3571	486
264	3582	473
265	3594	459
266	3605	445
267	3617	431
268	3628	418
269	3640	404
270	3651	390
271	3662	377
272	3674	363
273	3686	349
274	3697	336
275	3708	322
276	3719	308
277	3731	295
278	3742	281
279	3754	268
280	3765	254
281	3778	241
282	3793	227
283	3816	215
284	3831	201
285	3843	188
286	3860	174
287	3874	161
288	3889	148
289	3906	134
290	3918	121
291	3935	107
292	3954	94
293	3968	80
294	3984	67
295	3998	54
296	4010	40
297	4022	26
298	4035	13
299	4048	0
